Domain,Text,Model,BLEU Score,BERTScore,METEOR Score,Jaccard Similarity,Flesch Reading Ease,Performance Score,Rank
Medicine,Text 1,M1,0.8609105834433272,0.9645070433616638,0.9090763663703952,0.8928571428571429,-6.74,0.9880385759529575,1.0
Medicine,Text 1,M2,0.3244964719335782,0.7660402059555054,0.5238970588235293,0.3939393939393939,-10.08,0.5904788130887557,3.0
Medicine,Text 1,M3,0.8174439660778838,0.9684209227561951,0.8772367580969129,0.8909090909090909,-6.33,0.9683382803908874,2.0
Medicine,Text 1,M4,0.08677432947392923,0.7816919684410095,0.2654423076923077,0.32727272727272727,-6.02,0.5257356630793436,4.0
Medicine,Text 1,M5,0.7402840797160672,0.9369343519210815,0.8463530450401586,0.7931034482758621,-51.02,0.43381606183221894,5.0
Medicine,Text 2,M1,0.6935626714272556,0.9167762994766235,0.7780312733482762,0.7068965517241379,29.55,0.9822063490666963,1.0
Medicine,Text 2,M2,0.5422125043836131,0.8881750702857971,0.7726698173250632,0.5806451612903225,29.14,0.8506129497588529,2.0
Medicine,Text 2,M3,0.5820137240094951,0.8855341672897339,0.6658884209442685,0.6785714285714286,16.32,0.702160275384582,3.0
Medicine,Text 2,M4,0.16232061118184815,0.8047358393669128,0.3619778573822691,0.36363636363636365,15.31,0.45162854427444965,4.0
Medicine,Text 2,M5,0.6861121429414863,0.9026893973350525,0.7481801541015708,0.7321428571428572,-10.08,0.4020782248470499,5.0
Medicine,Text 3,M1,0.9138620064118365,0.9857759475708008,0.9553622325348148,0.9347826086956522,28.54,0.8950674555123069,1.0
Medicine,Text 3,M2,0.6926284885424892,0.9218105673789978,0.8093202984613316,0.72,30.16,0.8140667010728395,3.0
Medicine,Text 3,M3,0.7227505808188055,0.9033406376838684,0.7719899436840809,0.6862745098039216,37.3,0.8360751646954152,2.0
Medicine,Text 3,M4,0.11344120564253239,0.7647290825843811,0.3135325131810193,0.3695652173913043,11.92,0.4312870919448227,4.0
Medicine,Text 3,M5,0.6259501424751098,0.8475469350814819,0.8406684443523961,0.8571428571428572,-29.02,0.34070223701024926,5.0
Medicine,Text 4,M1,0.22455329558982864,0.8129433393478394,0.3980420305787469,0.42391304347826086,-18.88,0.6289607574665546,3.0
Medicine,Text 4,M2,0.2171321178916327,0.8201389312744141,0.42819123657447017,0.4148936170212766,-3.28,0.8010600427483456,2.0
Medicine,Text 4,M3,0.299120824187758,0.841599702835083,0.494998380264903,0.4945054945054945,-3.99,0.9657325312669077,1.0
Medicine,Text 4,M4,0.016572675401761255,0.701151967048645,0.17337760897035545,0.21978021978021978,-24.97,0.24298937032013626,5.0
Medicine,Text 4,M5,0.3161544914836316,0.8094685077667236,0.49711597045475464,0.4946236559139785,-38.5,0.5057847401037964,4.0
Medicine,Text 5,M1,0.7967892425077334,0.956066370010376,0.8393932745194452,0.8363636363636364,19.67,0.8358593674084178,2.0
Medicine,Text 5,M2,0.6421949708035773,0.9240532517433167,0.7372757125543893,0.7142857142857143,4.78,0.5521469768365315,3.0
Medicine,Text 5,M3,0.743663321992506,0.9331185817718506,0.7846814828440228,0.7818181818181819,28.84,0.9543929127458272,1.0
Medicine,Text 5,M4,0.29912415677662624,0.8314330577850342,0.4584457266296562,0.5,8.2,0.5182317737390187,4.0
Medicine,Text 5,M5,0.6791958485254495,0.9159322381019592,0.7735452687731883,0.736842105263158,-22.6,0.22769996838118378,5.0
